Use,Z,thickness,sigmaX,sigmaY,angle,xyshape,hiteff
# Sci-Fi T1
0,7826.1,0.012,0.140,,0.,Blake_Fibre_x,1.0
0,7895.9,0.012,0.140,,5.0,Blake_Fibre_u,1.0
0,7966.1,0.012,0.140,,-5.0,Blake_Fibre_v,1.0
0,8035.9,0.012,0.140,,0.,Blake_Fibre_x,1.0
# Sci-Fi T2
0,8507.1,0.012,0.140,,0.,Blake_Fibre_x,1.0
0,8576.9,0.012,0.140,,5.0,Blake_Fibre_u,1.0
0,8647.1,0.012,0.140,,-5.0,Blake_Fibre_v,1.0
0,8716.9,0.012,0.140,,0.,Blake_Fibre_x,1.0
# Sci-Fi T3
0,9192.1,0.012,0.140,,0.,Blake_Fibre_x,1.0
0,9261.9,0.012,0.140,,5.0,Blake_Fibre_u,1.0
0,9332.1,0.012,0.140,,-5.0,Blake_Fibre_v,1.0
0,9401.9,0.012,0.140,,0.,Blake_Fibre_x,1.0
#MP T0 1 plane + Passive service (1 plane)
0,7646.5,0.0275,0.01443,0.0433,,Blake_Pixel_x,1.0
0,7641.5,0.0103,,,,Blake_Fibre_x,1.0
0,7651.5,0.0103,,,,Blake_Fibre_x,1.0
#MP T1 2 plane + Passive service (2 planes - split in 2 passive)
0,7683.5,0.0172,0.01443,0.0433,,Blake_Pixel_x,1.0
0,7743.5,0.0172,0.01443,0.0433,,Blake_Pixel_x,1.0
0,7708.5,0.0135,,,,Blake_Fibre_x,1.0
0,7718.5,0.0135,,,,Blake_Fibre_x,1.0
#MP T2 2 plane + Passive service (2 planes - split in 2 passive)
0,8350.5,0.0172,0.01443,0.0433,,Blake_Pixel_x,1.0
0,8410.5,0.0172,0.01443,0.0433,,Blake_Pixel_x,1.0
0,8375.5,0.0135,,,,Blake_Fibre_x,1.0
0,8385.5,0.0135,,,,Blake_Fibre_x,1.0
#MP T3 1 plane + Passive service (2 planes - split in 1 passive 1.03 % per passive , total 2.06 %)
0,9085.5,0.0275,0.01443,0.0433,,Blake_Pixel_x,1.0
0,9080.5,0.0103,,,,Blake_Fibre_x,1.0
0,9090.5,0.0103,,,,Blake_Fibre_x,1.0
