Use,Z,thickness,sigmaX,sigmaY,angle,xyshape,hiteff
# Sci-Fi T1
1,7853.5,0.012,0.140,,0.,Blake_Fibre_x,1.0
1,7898.5,0.012,0.140,,5.0,Blake_Fibre_u,1.0
1,7983.5,0.012,0.140,,-5.0,Blake_Fibre_v,1.0
1,8028.5,0.012,0.140,,0.,Blake_Fibre_x,1.0
# Sci-Fi T2
1,8445.5,0.012,0.140,,0.,Blake_Fibre_x,1.0
1,8490.5,0.012,0.140,,5.0,Blake_Fibre_u,1.0
1,8575.5,0.012,0.140,,-5.0,Blake_Fibre_v,1.0
1,8620.5,0.012,0.140,,0.,Blake_Fibre_x,1.0
# Sci-Fi T3
1,9037.5,0.012,0.140,,0.,Blake_Fibre_x,1.0
1,9082.5,0.012,0.140,,5.0,Blake_Fibre_u,1.0
1,9167.5,0.012,0.140,,-5.0,Blake_Fibre_v,1.0
1,9212.5,0.012,0.140,,0.,Blake_Fibre_x,1.0
# proto v00.03 simulation 
#    FT = [
#        (7853.475, 0, 0, 0),  # station 0, layer 0 x
#        (7898.525, 1, 0, 1),  # station 0, layer 1 u
#        (7983.525, 2, 0, 2),  # station 0, layer 2 v
#        (8028.525, 3, 0, 3),  # station 0, layer 3 x
#        (8445.475, 4, 1, 0),  # station 1, layer 0 x
#        (8490.525, 5, 1, 1),  # station 1, layer 1 u
#        (8575.525, 6, 1, 2),  # station 1, layer 2 v
#        (8620.525, 7, 1, 3),  # station 1, layer 3 x
#        (9037.475, 8, 2, 0),  # station 2, layer 0 x
#        (9082.525, 9, 2, 1),  # station 2, layer 1 u
#        (9167.525, 10, 2, 2),  # station 2, layer 2 v
#        (9212.525, 11, 2, 3)  # station 2, layer 3 x
#    ]

#MP T0 1 plane + Passive service (1 plane)
1,7046.5,0.0275,0.01443,0.0433,,Frugal_Pixel_x,1.0
1,7041.5,0.0103,,,,Frugal_Fibre_x,1.0
1,7051.5,0.0103,,,,Frugal_Fibre_x,1.0
#MP T1 2 plane + Passive service (2 planes - split in 2 passive)
1,7683.5,0.0172,0.01443,0.0433,,Frugal_Pixel_x,1.0
1,7743.5,0.0172,0.01443,0.0433,,Frugal_Pixel_x,1.0
1,7708.5,0.0135,,,,Frugal_Fibre_x,1.0
1,7718.5,0.0135,,,,Frugal_Fibre_x,1.0
#MP T2 2 plane + Passive service (2 planes - split in 2 passive)
1,8350.5,0.0172,0.01443,0.0433,,Frugal_Pixel_x,1.0
1,8410.5,0.0172,0.01443,0.0433,,Frugal_Pixel_x,1.0
1,8375.5,0.0135,,,,Frugal_Fibre_x,1.0
1,8385.5,0.0135,,,,Frugal_Fibre_x,1.0
#MP T3 1 plane + Passive service (2 planes - split in 1 passive 1.03 % per passive , total 2.06 %)
1,9085.5,0.0275,0.01443,0.0433,,Frugal_Pixel_x,1.0
1,9080.5,0.0103,,,,Frugal_Fibre_x,1.0
1,9090.5,0.0103,,,,Frugal_Fibre_x,1.0
