Use,Z,thickness,sigmaX,sigmaY,angle,xyshape,hiteff
# Ensure other planes are added in the magnet field region
1,2800.,0,,,,any,1.0
1,3000.,0,,,,any,1.0
1,3200.,0,,,,any,1.0
1,3400.,0,,,,any,1.0
1,3600.,0,,,,any,1.0
1,3800.,0,,,,any,1.0
1,4000.,0,,,,any,1.0
1,4200.,0,,,,any,1.0
1,4400.,0,,,,any,1.0
1,4600.,0,,,,any,1.0
1,4800.,0,,,,any,1.0
1,5000.,0,,,,any,1.0
1,5200.,0,,,,any,1.0
1,5400.,0,,,,any,1.0
1,5600.,0,,,,any,1.0
1,5800.,0,,,,any,1.0
1,6000.,0,,,,any,1.0
1,6200.,0,,,,any,1.0
1,6400.,0,,,,any,1.0
1,6600.,0,,,,any,1.0
1,6800.,0,,,,any,1.0
1,7000.,0,,,,any,1.0
