Use,Z,thickness,sigmaX,sigmaY,angle,xyshape,hiteff
#
1,1500,0,,,,any,1.0
1,1750,0,,,,any,1.0
1,2000,0,,,,any,1.0
1,2280,0.015,,,,any,1.0
1,2320,0,,,,any,1.0
1,2360,0,,,,any,1.0
# UP x-u
1,2327.5,.01,.025,.025,0,UT_U2,1.0
1,2372.5,.01,.025,.025,0,UT_U2,1.0
# Step im magnet 
1,2400,0,,,,any,1.0
1,2430,0,,,,any,1.0
1,2460,0,,,,any,1.0
1,2490,0,,,,any,1.0
1,2520,0,,,,any,1.0
1,2550,0,,,,any,1.0
1,2580,0,,,,any,1.0
# UP v-x
1,2597.5,.01,.025,.025,0,UT_U2,1.0
1,2642.5,.01,.025,.025,0,UT_U2,1.0
# Step in magnet ? 
1,2650.0,0,,,,any,1.0
1,2670.0,0,,,,any,1.0
1,2680.0,0,,,,any,1.0
1,2690,0.015,,,,any,1.0
